Tito Ortiz,Patrick Cote,2004-10-22 00:00:00,13
Rich Franklin,Jorge Rivera,2004-10-22 00:00:00,15
Matt Hughes,Georges St-Pierre,2004-10-22 00:00:00,14
Frank Trigg,Renato Verissimo,2004-10-22 00:00:00,16
Evan Tanner,Robbie Lawler,2004-10-22 00:00:00,14
Ivan Salaverry,Tony Fryklund,2004-10-22 00:00:00,17
Travis Lutter,Marvin Eastman,2004-10-22 00:00:00,16
Tito Ortiz,Vitor Belfort,2005-02-05 00:00:00,15
Pete Sell,Phil Baroni,2005-02-05 00:00:00,16
Andrei Arlovski,Tim Sylvia,2005-02-05 00:00:00,16
Evan Tanner,David Terrell,2005-02-05 00:00:00,13
Paul Buentello,Justin Eilers,2005-02-05 00:00:00,17
Mike Kyle,James Irvin,2005-02-05 00:00:00,17
David Loiseau,Gideon Ray,2005-02-05 00:00:00,17
Karo Parisyan,Chris Lytle,2005-02-05 00:00:00,16
Nick Diaz,Drew Fickett,2005-02-05 00:00:00,16
